sno,CUI1,CUI2
0,C0002395,C0029838
1,C0002395,C0011570
2,C0002395,C0005586
3,C0002395,C0014544
4,C0002395,C0011849
5,C0002871,C0014175
6,C0004096,C0003873
7,C0004096,C0011849
8,C0004096,C0028754
9,C0004096,C0024117
10,C0005586,C0029838
11,C0007193,C0020474
12,C0007193,C0027051
13,C0007193,C0011849
14,C0007193,C0029591
15,C0007193,C0028754
16,C0024117,C0003873
17,C0024117,C0027051
18,C0162674,C0007193
19,C0011849,C0028754
20,C0011849,C0029591
21,C0014175,C0003873
22,C0014544,C0026769
23,C0014544,C0029838
24,C0020179,C0011570
25,C0020179,C0014544
26,C0020179,C0005586
27,C0020179,C0029838
28,C0020474,C0011849
29,C0020474,C0029591
30,C0020474,C0027051
31,C0020474,C0028754
32,C0021364,C0028754
33,C0021364,C0020474
34,C0021364,C0010674
35,C0029591,C0028754
36,C0024530,C0014544
37,C0024530,C0002871
38,C0011570,C0005586
39,C0011570,C0029838
40,C0026769,C0011849
41,C0027051,C0011849
42,C0027051,C0028754
43,C0027051,C0029591
44,C0022680,C0011849
45,C0032460,C0028754
46,C0032460,C0011849
47,C0032460,C0027051
48,C0032460,C0029591
49,C0003873,C0011849
50,C0036202,C0007193
51,C0036202,C0024117
52,C0018021,C0020676
53,C0003850,C0022116
54,C0021400,C0032285
55,C0014038,C0025289
56,C0004153,C0022116
57,C0003864,C0002726
58,C0149514,C0032285
59,C0027121,C0026848
60,C0018995,C0003864
61,C0026946,C0025289
62,C0032285,C0025289
63,C0023530,C0032285
64,C0018021,C0011644
65,C0014544,C0022116
66,C0029531,C0030305
67,C0004153,C0021400
68,C0029531,C0014544
69,C0029456,C0033141
